Tue, 29 Nov 2022 18:32:18 +0800 | ERROR  | stderr     | url:'http://localhost:8083/' id:'1669717923959595300' remote:'::1' command:'/mnt/d/2022/python/esptool_server/esptool_server_py/tools/esptool' origin:'http://www.websocket-test.com' pid:'27373' | [27375] Failed to execute script 'esptool' due to unhandled exception!
Tue, 29 Nov 2022 18:32:18 +0800 | ACCESS | session    | url:'http://localhost:8083/' id:'1669717923959595300' remote:'::1' command:'/mnt/d/2022/python/esptool_server/esptool_server_py/tools/esptool' origin:'http://www.websocket-test.com' pid:'27373' | DISCONNECT
Tue, 29 Nov 2022 18:34:43 +0800 | ACCESS | session    | url:'http://localhost:8083/' id:'1669718083900455300' remote:'::1' command:'/mnt/d/2022/python/esptool_server/esptool_server_py/tools/esptool' origin:'http://www.websocket-test.com' | CONNECT
Tue, 29 Nov 2022 18:34:58 +0800 | ERROR  | stderr     | url:'http://localhost:8083/' id:'1669718083900455300' remote:'::1' command:'/mnt/d/2022/python/esptool_server/esptool_server_py/tools/esptool' origin:'http://www.websocket-test.com' pid:'27383' | Traceback (most recent call last):
Tue, 29 Nov 2022 18:34:58 +0800 | ERROR  | stderr     | url:'http://localhost:8083/' id:'1669718083900455300' remote:'::1' command:'/mnt/d/2022/python/esptool_server/esptool_server_py/tools/esptool' origin:'http://www.websocket-test.com' pid:'27383' |   File "esptool.py", line 5482, in <module>
Tue, 29 Nov 2022 18:34:58 +0800 | ERROR  | stderr     | url:'http://localhost:8083/' id:'1669718083900455300' remote:'::1' command:'/mnt/d/2022/python/esptool_server/esptool_server_py/tools/esptool' origin:'http://www.websocket-test.com' pid:'27383' |   File "esptool.py", line 5475, in _main
Tue, 29 Nov 2022 18:34:58 +0800 | ERROR  | stderr     | url:'http://localhost:8083/' id:'1669718083900455300' remote:'::1' command:'/mnt/d/2022/python/esptool_server/esptool_server_py/tools/esptool' origin:'http://www.websocket-test.com' pid:'27383' |   File "esptool.py", line 4895, in main
Tue, 29 Nov 2022 18:34:58 +0800 | ERROR  | stderr     | url:'http://localhost:8083/' id:'1669718083900455300' remote:'::1' command:'/mnt/d/2022/python/esptool_server/esptool_server_py/tools/esptool' origin:'http://www.websocket-test.com' pid:'27383' |   File "esptool.py", line 3911, in detect_flash_size
Tue, 29 Nov 2022 18:34:58 +0800 | ERROR  | stderr     | url:'http://localhost:8083/' id:'1669718083900455300' remote:'::1' command:'/mnt/d/2022/python/esptool_server/esptool_server_py/tools/esptool' origin:'http://www.websocket-test.com' pid:'27383' |   File "esptool.py", line 886, in flash_id
Tue, 29 Nov 2022 18:34:58 +0800 | ERROR  | stderr     | url:'http://localhost:8083/' id:'1669718083900455300' remote:'::1' command:'/mnt/d/2022/python/esptool_server/esptool_server_py/tools/esptool' origin:'http://www.websocket-test.com' pid:'27383' |   File "esptool.py", line 1198, in run_spiflash_command
Tue, 29 Nov 2022 18:34:58 +0800 | ERROR  | stderr     | url:'http://localhost:8083/' id:'1669718083900455300' remote:'::1' command:'/mnt/d/2022/python/esptool_server/esptool_server_py/tools/esptool' origin:'http://www.websocket-test.com' pid:'27383' |   File "esptool.py", line 733, in read_reg
